Rooms,DistCenter,Area,Price,AdmArea,District,Lat,Long,Address
2,17.279479,46,8168,Западный административный округ,район Солнцево,55.650000,37.410000,"Солнцевский проспект, дом 23"
3,7.606720,70,13058,Северо-Восточный административный округ,Останкинский район,55.820000,37.630000,"Звёздный бульвар, дом 10"
1,11.191311,31,6186,Юго-Восточный административный округ,район Кузьминки,55.710000,37.780000,"Есенинский бульвар, дом 1/26, корпус 1"
3,10.109736,60,12990,Юго-Восточный административный округ,район Кузьминки,55.700000,37.750000,"Волгоградский проспект, дом 60, корпус 3"
3,11.763606,61,9032,Юго-Восточный административный округ,район Кузьминки,55.710000,37.790000,"улица Академика Скрябина, дом 26, корпус 1"
1,11.763606,30,4609,Юго-Восточный административный округ,район Кузьминки,55.710000,37.790000,"улица Фёдора Полетаева, дом 36, корпус 2"
2,12.249675,51,8846,Юго-Восточный административный округ,район Кузьминки,55.700000,37.790000,"улица Юных Ленинцев, дом 115"
2,17.005404,47,8099,Южный административный округ,район Чертаново Южное,55.600000,37.590000,"Чертановская улица, дом 57"
3,17.081039,80,11924,Южный административный округ,район Чертаново Южное,55.600000,37.580000,"Чертановская улица, дом 66, корпус 4"
3,10.995195,52,9522,Северо-Восточный административный округ,район Свиблово,55.850000,37.640000,"улица Седова, дом 2, корпус 1"
3,15.583932,54,8791,Северо-Восточный административный округ,район Северное Медведково,55.890000,37.660000,"улица Грекова, дом 4"
3,15.843957,74,13297,Северо-Восточный административный округ,район Северное Медведково,55.890000,37.680000,"Осташковская улица, дом 26"
2,15.490177,59,10781,Северо-Восточный административный округ,район Северное Медведково,55.890000,37.650000,"улица Тихомирова, дом 7"
3,7.913749,72,13369,Восточный административный округ,район Соколиная Гора,55.770000,37.740000,"8-я улица Соколиной Горы, дом 20, корпус 1"
3,8.264989,82,11244,Восточный административный округ,район Соколиная Гора,55.780000,37.740000,"Измайловское шоссе, дом 55"
3,7.708563,51,10294,Восточный административный округ,район Соколиная Гора,55.760000,37.740000,"улица Уткина, дом 41Б"
3,16.964932,68,10792,Северо-Западный административный округ,район Южное Тушино,55.850000,37.410000,"бульвар Яна Райниса, дом 43, корпус 2"
1,4.122698,25,6208,Центральный административный округ,Таганский район,55.740000,37.680000,"Нижегородская улица, дом 6"
1,12.044338,29,5008,Восточный административный округ,район Новогиреево,55.750000,37.810000,"Зелёный проспект, дом 48, корпус 3"
2,14.732362,55,9269,Южный административный округ,район Чертаново Северное,55.620000,37.600000,"Сумская улица, дом 8, корпус 1"
3,17.288790,60,7618,Северо-Западный административный округ,район Митино,55.840000,37.390000,"Пятницкое шоссе, дом 12, корпус 3"
3,11.418117,56,9615,Восточный административный округ,район Новогиреево,55.750000,37.800000,"Мартеновская улица, дом 32/15"
2,11.352452,42,7891,Южный административный округ,Нагорный район,55.650000,37.620000,"Черноморский бульвар, дом 4, корпус 2"
3,6.466058,64,9947,Юго-Восточный административный округ,район Лефортово,55.760000,37.720000,"Авиамоторная улица, дом 21"
3,11.366065,75,13118,Юго-Восточный административный округ,Рязанский район,55.720000,37.790000,"Рязанский проспект, дом 73"
2,4.248245,44,7792,Центральный административный округ,Пресненский район,55.750000,37.550000,"Мантулинская улица, дом 5, строение 2"
3,10.655377,63,11476,Юго-Западный административный округ,Обручевский район,55.670000,37.530000,"Воронцовский парк, дом 3"
1,10.251926,30,5657,Восточный административный округ,район Перово,55.740000,37.780000,"улица Лазо, дом 7, строение 2"
1,10.824917,22,3692,Восточный административный округ,район Перово,55.760000,37.790000,"3-я Владимирская улица, дом 9, корпус 4"
3,10.824917,65,10365,Восточный административный округ,район Перово,55.760000,37.790000,"улица Металлургов, дом 30"
2,9.011249,57,10603,Восточный административный округ,район Перово,55.740000,37.760000,"улица Аносова, дом 5"
3,11.418117,66,10693,Восточный административный округ,район Перово,55.750000,37.800000,"Новогиреевская улица, дом 31/45"
3,10.824917,64,10652,Восточный административный округ,район Перово,55.760000,37.790000,"Новогиреевская улица, дом 4, корпус 2"
1,14.927692,27,4563,Южный административный округ,район Царицыно,55.620000,37.660000,"Севанская улица, дом 11"
1,14.829106,29,5489,Южный административный округ,район Царицыно,55.620000,37.650000,"улица Бехтерева, дом 31, корпус 4"
3,3.308150,64,12743,Центральный административный округ,Тверской район,55.780000,37.600000,"улица Фадеева, дом 10"
1,3.097782,29,5879,Центральный административный округ,Пресненский район,55.770000,37.580000,"Тишинская площадь, дом 6"
3,4.122698,57,10329,Центральный административный округ,Таганский район,55.740000,37.680000,"Стройковская улица, дом 2"
1,1.930968,33,7259,Центральный административный округ,район Замоскворечье,55.740000,37.640000,"Озерковская набережная, дом 48-50, строение 2"
2,7.832615,41,9163,Северо-Восточный административный округ,Алексеевский район,55.820000,37.650000,"проспект Мира, владение 180А"
2,15.371101,51,9757,Северный административный округ,район Ховрино,55.870000,37.490000,"улица Дыбенко, дом 6, корпус 1"
2,11.385165,49,8674,Северный административный округ,Войковский район,55.830000,37.500000,"Нарвская улица, дом 11, корпус 4"
2,13.363543,55,8368,Восточный административный округ,район Вешняки,55.740000,37.830000,"Кетчерская улица, дом 8, корпус 3"
2,12.740418,49,11202,Восточный административный округ,район Вешняки,55.740000,37.820000,"Вешняковская улица, дом 5, корпус 5"
3,13.363543,70,13052,Восточный административный округ,район Вешняки,55.740000,37.830000,"Реутовская улица, дом 4"
3,3.910560,56,8172,Северный административный округ,район Беговой,55.780000,37.580000,"улица Правды, дом 5"
1,13.521852,35,7529,Восточный административный округ,район Вешняки,55.730000,37.830000,"Реутовская улица, дом 24"
1,11.191311,21,3904,Юго-Восточный административный округ,район Кузьминки,55.710000,37.780000,"Волгоградский проспект, дом 143, корпус 2"
2,4.334323,44,9828,Центральный административный округ,Пресненский район,55.760000,37.550000,"2-я Черногрязская улица, дом 10"
3,1.951805,71,13305,Центральный административный округ,Пресненский район,55.760000,37.590000,"Скатертный переулок, дом 11"
1,2.656598,29,5449,Центральный административный округ,Таганский район,55.750000,37.660000,"Верхняя Сыромятническая улица, дом 2"
1,11.799653,25,5357,Северный административный округ,Войковский район,55.830000,37.490000,"Ленинградское шоссе, дом 36, корпус 1"
1,4.571672,29,6052,Центральный административный округ,Тверской район,55.790000,37.590000,"Порядковый переулок, дом 8"
1,6.763483,29,5850,Северо-Восточный административный округ,Алексеевский район,55.810000,37.650000,"1-й Рижский переулок, дом 2, корпус 1"
3,15.134145,63,11427,Северо-Западный административный округ,район Северное Тушино,55.850000,37.450000,"улица Свободы, дом 61, корпус 2"
2,17.279479,49,7380,Западный административный округ,район Солнцево,55.650000,37.410000,"Солнцевский проспект, дом 30"
2,5.751500,48,9239,Восточный административный округ,район Сокольники,55.790000,37.680000,"улица Сокольнический Вал, дом 1, строение 1"
3,19.220925,73,10249,Южный административный округ,район Чертаново Южное,55.580000,37.590000,"Варшавское шоссе, дом 160, корпус 1"
3,13.490264,74,14003,Южный административный округ,район Москворечье-Сабурово,55.640000,37.700000,"улица Борисовские Пруды, дом 1, строение 43"
2,12.044338,38,6292,Восточный административный округ,район Новогиреево,55.750000,37.810000,"Союзный проспект, дом 6, корпус 3"
1,13.521852,27,5714,Восточный административный округ,район Вешняки,55.730000,37.830000,"Вешняковская улица, дом 16"
3,19.220925,83,13582,Юго-Западный административный округ,район Северное Бутово,55.580000,37.590000,"Старобитцевская улица, дом 15, корпус 1"
2,17.879575,43,6590,Южный административный округ,район Орехово-Борисово Южное,55.600000,37.710000,"Шипиловский проезд, дом 63, корпус 1"
2,18.035551,54,8799,Южный административный округ,район Чертаново Южное,55.590000,37.610000,"Россошанская улица, дом 6"
3,11.418117,57,10887,Восточный административный округ,район Новогиреево,55.750000,37.800000,"Новогиреевская улица, дом 44/28"
1,14.554681,29,5403,Северо-Восточный административный округ,Алтуфьевский район,55.880000,37.570000,"Путевой проезд, дом 26, корпус 2"
2,17.171704,41,6886,Юго-Восточный административный округ,район Выхино-Жулебино,55.680000,37.860000,"Привольная улица, дом 73, корпус 2"
3,13.441671,67,11715,Восточный административный округ,район Ивановское,55.770000,37.830000,"Саянская улица, дом 5, корпус 1"
1,15.165545,23,4027,Юго-Западный административный округ,район Тёплый Стан,55.640000,37.480000,"Ленинский проспект, дом 135, корпус 1"
1,13.286556,28,4288,Северо-Восточный административный округ,Бабушкинский район,55.870000,37.650000,"улица Чичерина, дом 10, корпус 1"
1,2.817803,33,5784,Центральный административный округ,район Замоскворечье,55.730000,37.640000,"Садовническая улица, дом 84, строение 3"
1,7.569222,27,5607,Северо-Восточный административный округ,Останкинский район,55.820000,37.620000,"Аргуновская улица, дом 16, корпус 2"
1,5.396966,25,5621,Северо-Восточный административный округ,Останкинский район,55.800000,37.630000,"улица Годовикова, дом 1, корпус 2"
2,5.396966,42,7498,Северо-Восточный административный округ,Останкинский район,55.800000,37.630000,"проспект Мира, дом 81, строение 3"
1,8.446902,29,5866,Юго-Западный административный округ,Гагаринский район,55.690000,37.540000,"Ленинский проспект, дом 72/2"
1,14.350517,25,4841,Северо-Восточный административный округ,Алтуфьевский район,55.880000,37.590000,"Бибиревская улица, дом 1"
3,2.422489,70,14063,Центральный административный округ,Таганский район,55.740000,37.650000,"Краснохолмская набережная, дом 1/15"
3,7.695091,51,8508,Северо-Восточный административный округ,Алексеевский район,55.820000,37.640000,"улица Кибальчича, дом 2, корпус 3"
2,7.832615,53,8780,Северо-Восточный административный округ,Алексеевский район,55.820000,37.650000,"улица Космонавтов, дом 12"
2,8.912470,50,9355,Северо-Восточный административный округ,Алексеевский район,55.830000,37.650000,"проспект Мира, дом 184, корпус 1"
1,17.506399,28,4793,Восточный административный округ,район Восточный,55.820000,37.870000,"улица 9 Мая, дом 24А"
2,13.164323,38,6753,Восточный административный округ,район Вешняки,55.720000,37.820000,"улица Красный Казанец, дом 19, корпус 2"
1,13.768580,31,5070,Восточный административный округ,район Вешняки,55.720000,37.830000,"Косинская улица, дом 18, корпус 2"
2,13.286556,52,9722,Северо-Восточный административный округ,район Южное Медведково,55.870000,37.650000,"проезд Шокальского, дом 6А"
2,10.933911,41,6982,Западный административный округ,район Фили-Давыдково,55.710000,37.460000,"Кременчугская улица, дом 36"
2,9.718830,40,6935,Юго-Западный административный округ,Ломоносовский район,55.680000,37.530000,"Ленинский проспект, дом 82/2"
1,10.102958,29,4992,Западный административный округ,район Проспект Вернадского,55.690000,37.500000,"улица Удальцова, дом 22"
1,17.699723,29,4357,Северо-Западный административный округ,район Северное Тушино,55.860000,37.410000,"улица Вилиса Лациса, домовладение 26, строение 1"
1,16.802968,26,3747,Северо-Западный административный округ,район Северное Тушино,55.860000,37.430000,"улица Вилиса Лациса, дом 11, корпус 3"
2,4.772530,43,8433,Северный административный округ,район Беговой,55.780000,37.560000,"Беговая улица, дом 13"
1,6.114934,30,5974,Юго-Восточный административный округ,район Лефортово,55.770000,37.710000,"Мининский переулок, дом 4/6"
2,14.344140,48,8167,Восточный административный округ,район Измайлово,55.870000,37.710000,"улица Проходчиков, дом 1"
3,6.409136,61,11040,Юго-Восточный административный округ,район Лефортово,55.750000,37.720000,"Авиамоторная улица, дом 49/1"
2,14.295263,48,6019,Северный административный округ,район Левобережный,55.850000,37.470000,"Ленинградское шоссе, дом 51, строение 2"
3,2.688587,83,13756,Центральный административный округ,район Якиманка,55.730000,37.600000,"улица Крымский Вал, дом 9, строение 1"
3,10.384363,76,15807,Восточный административный округ,район Северное Измайлово,55.800000,37.760000,"Щёлковское шоссе, дом 2А"
1,14.747163,24,3848,Восточный административный округ,район Гольяново,55.820000,37.820000,"Уссурийская улица, дом 16"
2,13.061984,52,8798,Южный административный округ,район Москворечье-Сабурово,55.640000,37.680000,"Кантемировская улица, дом 4, корпус 1"
1,5.783220,35,6150,Юго-Восточный административный округ,район Лефортово,55.750000,37.710000,"шоссе Энтузиастов, дом 13"
3,13.296813,69,14130,Восточный административный округ,район Ивановское,55.750000,37.830000,"улица Молостовых, дом 16, корпус 2"
3,13.967630,58,9969,Южный административный округ,район Царицыно,55.630000,37.670000,"улица Медиков, дом 3"
2,14.128041,57,9715,Южный административный округ,район Царицыно,55.630000,37.680000,"улица Медиков, дом 22, корпус 1"
2,11.739653,55,10044,Юго-Западный административный округ,район Зюзино,55.650000,37.570000,"Херсонская улица, дом 9, корпус 2"
2,6.763483,45,9162,Северо-Восточный административный округ,Алексеевский район,55.810000,37.650000,"улица Константинова, дом 5"
3,12.562254,69,9475,Восточный административный округ,район Вешняки,55.720000,37.810000,"улица Красный Казанец, дом 3, корпус 4"
3,6.603691,74,14289,Северо-Восточный административный округ,Алексеевский район,55.810000,37.640000,"проспект Мира, дом 110/2"
3,6.975963,76,13925,Северо-Восточный административный округ,Алексеевский район,55.810000,37.660000,"улица Павла Корчагина, дом 8"
2,11.007493,44,8621,Северный административный округ,Войковский район,55.820000,37.490000,"4-й Войковский проезд, дом 10"
3,12.562254,67,8545,Восточный административный округ,район Вешняки,55.720000,37.810000,"улица Молдагуловой, дом 12, корпус 2"
3,12.741259,72,10462,Юго-Восточный административный округ,район Марьино,55.650000,37.710000,"Донецкая улица, дом 18, корпус 3"
1,15.500865,33,4890,Северный административный округ,район Западное Дегунино,55.880000,37.520000,"Ангарская улица, дом 28, корпус 2"
3,10.561846,62,10484,Северный административный округ,Войковский район,55.820000,37.500000,"Ленинградское шоссе, дом 13, корпус 1"
2,4.518770,51,8499,Центральный административный округ,Красносельский район,55.780000,37.670000,"Русаковская улица, дом 2/1, строение 1"
1,8.913041,34,6864,Южный административный округ,район Нагатинский Затон,55.680000,37.680000,"Судостроительная улица, дом 31, корпус 1"
1,14.485076,25,4619,Северный административный округ,район Западное Дегунино,55.870000,37.520000,"Талдомская улица, дом 2"
3,14.432440,74,13988,Северный административный округ,район Левобережный,55.860000,37.490000,"Фестивальная улица, дом 4, корпус 2"
1,15.374003,32,5603,Южный административный округ,район Орехово-Борисово Северное,55.620000,37.690000,"улица Маршала Захарова, дом 14, корпус 1"
2,9.011249,52,9372,Юго-Восточный административный округ,Нижегородский район,55.740000,37.760000,"Перовское шоссе, дом 25, строение 2"
2,16.291495,54,10482,Южный административный округ,район Зябликово,55.620000,37.730000,"Ореховый проезд, дом 41, корпус 1"
3,16.247720,74,9817,Южный административный округ,район Братеево,55.630000,37.760000,"Проектируемый проезд № 5396, владение 15"
2,7.569222,51,8038,Северо-Восточный административный округ,Останкинский район,55.820000,37.620000,"Прудовой проезд, дом 10"
3,12.029260,59,9341,Северо-Восточный административный округ,район Отрадное,55.860000,37.610000,"проезд Якушкина, дом 6"
3,1.342903,57,11344,Центральный административный округ,район Якиманка,55.740000,37.620000,"улица Большая Полянка, дом 28, корпус 1"
2,2.452401,47,8650,Центральный административный округ,район Якиманка,55.730000,37.620000,"Житная улица, дом 10"
2,4.719705,42,8803,Центральный административный округ,Таганский район,55.740000,37.690000,"Нижегородская улица, дом 25"
2,4.088530,42,7738,Центральный административный округ,Таганский район,55.730000,37.670000,"Волгоградский проспект, дом 1, строение 1"
2,2.208166,53,9494,Центральный административный округ,Басманный район,55.760000,37.650000,"улица Покровка, дом 41, строение 3"
3,4.383504,80,14814,Центральный административный округ,Басманный район,55.770000,37.680000,"Старокирочный переулок, дом 14"
2,6.563651,50,8235,Центральный административный округ,Басманный район,55.780000,37.710000,"Семёновская набережная, дом 3/1, корпус 4"
2,4.383504,47,9028,Центральный административный округ,Басманный район,55.770000,37.680000,"Бауманская улица, дом 22"
2,4.650547,49,9998,Центральный административный округ,район Хамовники,55.720000,37.570000,"Комсомольский проспект, дом 40"
3,3.392138,70,13228,Центральный административный округ,Басманный район,55.760000,37.670000,"4-й Сыромятнический переулок, дом 3/5, строение 3"
3,1.751265,64,11396,Центральный административный округ,район Хамовники,55.750000,37.590000,"Малый Власьевский переулок, дом 6, строение 1"
3,4.650547,72,13351,Центральный административный округ,район Хамовники,55.720000,37.570000,"Комсомольский проспект, дом 48"
1,4.274592,27,5338,Центральный административный округ,район Хамовники,55.720000,37.580000,"Комсомольский проспект, дом 35"
3,6.763483,75,12934,Северо-Восточный административный округ,Алексеевский район,55.810000,37.650000,"Новоалексеевская улица, дом 17"
3,1.737039,78,14570,Центральный административный округ,район Хамовники,55.740000,37.600000,"Гагаринский переулок, дом 15А"
1,1.737039,27,5698,Центральный административный округ,район Хамовники,55.740000,37.600000,"улица Остоженка, дом 30, строение 2"
1,13.179185,27,5621,Северо-Восточный административный округ,район Отрадное,55.870000,37.600000,"улица Бестужевых, дом 9Б"
1,8.694280,30,5443,Северо-Восточный административный округ,Останкинский район,55.830000,37.610000,"проспект Мира, дом 119, строение 6"
1,8.848024,27,4660,Восточный административный округ,район Измайлово,55.780000,37.750000,"аллея Большого Круга, дом 7"
1,3.319311,24,5206,Центральный административный округ,Басманный район,55.770000,37.660000,"Старая Басманная улица, дом 15, строение 2"
3,7.437687,62,11031,Северный административный округ,Хорошёвский район,55.790000,37.520000,"улица Куусинена, дом 15, корпус 3"
3,18.738760,82,14531,Западный административный округ,район Солнцево,55.650000,37.380000,"Боровский проезд, дом 24"
1,13.899082,30,5591,Северный административный округ,район Левобережный,55.850000,37.480000,"Флотская улица, дом 1, строение 2"
3,17.222560,66,12366,Северо-Западный административный округ,район Митино,55.830000,37.380000,"Пенягинская улица, дом 14"
2,14.487702,46,7823,Юго-Западный административный округ,район Тёплый Стан,55.640000,37.500000,"улица Островитянова, дом 10, строение 3"
2,19.287908,48,8996,Юго-Западный административный округ,район Северное Бутово,55.580000,37.580000,"Новоясеневский тупик, дом 1, строение 2"
2,9.603670,37,7247,Северо-Западный административный округ,район Щукино,55.790000,37.480000,"улица Расплетина, дом 12, корпус 2"
3,10.142155,58,10830,Северо-Западный административный округ,район Щукино,55.800000,37.480000,"улица Расплетина, дом 15"
2,9.603670,41,5732,Северо-Западный административный округ,район Щукино,55.790000,37.480000,"улица Расплетина, дом 1А"
3,16.964932,71,11994,Северо-Западный административный округ,район Северное Тушино,55.850000,37.410000,"бульвар Яна Райниса, дом 26, корпус 2"
3,13.619720,65,12292,Северный административный округ,район Восточное Дегунино,55.870000,37.560000,"Дубнинская улица, дом 24, корпус 1"
1,13.688389,28,4548,Южный административный округ,район Чертаново Северное,55.630000,37.590000,"Сумской проезд, дом 25, корпус 2"
2,4.804403,43,8357,Южный административный округ,Донской район,55.710000,37.600000,"улица Стасовой, дом 3/27"
2,13.619720,52,8934,Северный административный округ,район Восточное Дегунино,55.870000,37.560000,"Дубнинская улица, дом 22, корпус 1"
3,9.020208,74,12554,Юго-Восточный административный округ,Рязанский район,55.720000,37.750000,"улица Васильцовский Стан, дом 10, корпус 1"
1,19.434583,31,4216,Западный административный округ,район Солнцево,55.640000,37.380000,"Родниковая улица, дом 16"
1,13.586046,31,4785,Южный административный округ,район Чертаново Северное,55.630000,37.610000,"Кировоградская улица, дом 5"
3,13.141343,66,12289,Северо-Восточный административный округ,район Отрадное,55.870000,37.610000,"Северный бульвар, дом 6"
3,9.349587,53,8160,Северный административный округ,район Коптево,55.820000,37.530000,"улица Зои и Александра Космодемьянских, дом 36А"
3,9.602542,57,9651,Юго-Восточный административный округ,район Текстильщики,55.700000,37.740000,"улица Малышева, дом 2"
3,12.029260,63,9081,Северо-Восточный административный округ,район Отрадное,55.860000,37.610000,"улица Декабристов, дом 29А"
3,13.833829,61,9713,Южный административный округ,район Царицыно,55.630000,37.660000,"Пролетарский проспект, дом 28"
1,6.315361,23,4177,Северный административный округ,Хорошёвский район,55.780000,37.530000,"улица Полины Осипенко, дом 22, строение 4"
2,15.287626,48,7800,Восточный административный округ,район Гольяново,55.820000,37.830000,"Алтайская улица, дом 25"
2,8.640518,46,9901,Юго-Восточный административный округ,Нижегородский район,55.730000,37.750000,"Рязанский проспект, дом 31"
2,14.438159,41,6476,Юго-Восточный административный округ,район Марьино,55.650000,37.760000,"Новомарьинская улица, дом 12/12, корпус 1"
1,15.898722,33,6147,Южный административный округ,район Чертаново Центральное,55.610000,37.590000,"улица Красного Маяка, дом 3"
1,13.509467,29,5268,Юго-Восточный административный округ,район Выхино-Жулебино,55.710000,37.820000,"Ташкентская улица, дом 4, корпус 2"
1,14.834940,25,4938,Восточный административный округ,район Гольяново,55.830000,37.810000,"Сахалинская улица, дом 7, корпус 1"
3,14.634631,55,9781,Юго-Восточный административный округ,район Марьино,55.640000,37.740000,"Батайский проезд, дом 49"
3,19.919872,81,13886,Западный административный округ,район Ново-Переделкино,55.640000,37.370000,"Новопеределкинская улица, дом 12, корпус 1"
2,8.446902,45,6868,Юго-Западный административный округ,Гагаринский район,55.690000,37.540000,"Молодёжная улица, дом 5"
2,19.705061,50,8072,Северо-Западный административный округ,район Куркино,55.880000,37.400000,"Куркинское шоссе, дом 17, корпус 5"
3,13.176401,64,9608,Юго-Восточный административный округ,район Марьино,55.660000,37.750000,"улица Верхние Поля, дом 8"
3,8.101527,67,11657,Юго-Западный административный округ,Гагаринский район,55.690000,37.550000,"Молодёжная улица, дом 3"
2,6.251594,46,9452,Юго-Западный административный округ,Гагаринский район,55.700000,37.580000,"Ленинский проспект, дом 43"
2,6.825127,57,10596,Юго-Западный административный округ,Гагаринский район,55.700000,37.560000,"Ленинский проспект, дом 52"
1,15.160716,34,5198,Северный административный округ,район Левобережный,55.860000,37.470000,"Беломорская улица, дом 10, корпус 3"
1,15.160716,25,4688,Северный административный округ,район Левобережный,55.860000,37.470000,"Беломорская улица, дом 10, корпус 3"
2,13.212868,38,6664,Северный административный округ,район Западное Дегунино,55.860000,37.530000,"Дегунинская улица, дом 13, корпус 2"
1,15.055591,25,4789,Северный административный округ,район Ховрино,55.870000,37.500000,"Зеленоградская улица, дом 17, корпус 1"
2,17.360275,40,6565,Северный административный округ,Дмитровский район,55.900000,37.530000,"Клязьминская улица, дом 34"
3,11.545653,60,10402,Северный административный округ,район Коптево,55.840000,37.520000,"Коптевская улица, дом 89, корпус 10"
1,16.331666,32,4876,Северный административный округ,район Западное Дегунино,55.880000,37.490000,"улица Маршала Федоренко, дом 14, корпус 4"
1,8.121669,29,5319,Северный административный округ,район Сокол,55.800000,37.520000,"Новопесчаная улица, дом 17, корпус 3"
3,13.160248,55,10084,Северный административный округ,Головинский район,55.850000,37.500000,"Смольная улица, дом 19, корпус 5"
3,13.779436,60,8525,Северный административный округ,Головинский район,55.860000,37.510000,"Фестивальная улица, дом 46, корпус 2"
2,13.160248,47,9896,Северный административный округ,Головинский район,55.850000,37.500000,"Флотская улица, дом 44"
3,15.051766,61,11160,Северный административный округ,Дмитровский район,55.880000,37.540000,"Яхромская улица, дом 1А"
1,14.059270,29,5696,Юго-Восточный административный округ,район Марьино,55.650000,37.750000,"Луговой проезд, дом 7"
3,7.661267,59,10542,Северный административный округ,Хорошёвский район,55.800000,37.530000,"Ленинградский проспект, дом 45, корпус 3"
3,13.999755,71,11589,Юго-Восточный административный округ,район Марьино,55.660000,37.770000,"Перервинский бульвар, дом 25"
3,14.972834,83,14651,Юго-Восточный административный округ,район Марьино,55.640000,37.750000,"Люблинская улица, дом 179/1"
2,9.418046,50,8055,Юго-Восточный административный округ,район Печатники,55.690000,37.720000,"улица Гурьянова, дом 2, корпус 4"
3,9.855380,80,12789,Юго-Восточный административный округ,район Печатники,55.690000,37.730000,"Шоссейная улица, дом 2, корпус 1"
2,10.261903,48,6673,Юго-Восточный административный округ,район Печатники,55.680000,37.720000,"улица Полбина, дом 56"
3,7.661267,79,14734,Северный административный округ,район Аэропорт,55.800000,37.530000,"улица Усиевича, дом 2"
3,8.892747,63,10497,Северный административный округ,район Аэропорт,55.810000,37.520000,"Ленинградский проспект, дом 74, корпус 6"
3,9.011249,72,12987,Восточный административный округ,район Перово,55.740000,37.760000,"улица Плеханова, дом 18, корпус 1"
3,18.574826,75,11403,Южный административный округ,район Орехово-Борисово Южное,55.600000,37.740000,"Елецкая улица, дом 35, корпус 2"
3,12.462826,66,11524,Юго-Восточный административный округ,район Люблино,55.680000,37.770000,"Совхозная улица, дом 18, корпус 2"
2,14.264277,37,5743,Юго-Западный административный округ,район Тёплый Стан,55.650000,37.480000,"Ленинский проспект, дом 123, корпус 1"
1,16.733935,31,6655,Юго-Западный административный округ,район Тёплый Стан,55.620000,37.490000,"улица Генерала Тюленева, дом 31"
3,16.170605,58,8914,Юго-Западный административный округ,район Тёплый Стан,55.620000,37.510000,"Профсоюзная улица, дом 146, корпус 1"
2,15.166326,40,6209,Юго-Западный административный округ,район Тёплый Стан,55.630000,37.510000,"Профсоюзная улица, дом 136, корпус 2"
2,16.093323,44,7846,Юго-Западный административный округ,район Тёплый Стан,55.630000,37.480000,"улица Тёплый Стан, дом 21, корпус 2"
3,16.733935,53,10828,Юго-Западный административный округ,район Тёплый Стан,55.620000,37.490000,"улица Тёплый Стан, дом 15, корпус 6"
3,10.165715,54,8776,Восточный административный округ,район Перово,55.750000,37.780000,"Зелёный проспект, дом 11А"
2,10.165715,44,7008,Восточный административный округ,район Перово,55.750000,37.780000,"1-я Владимирская улица, дом 47"
1,13.263028,22,3275,Южный административный округ,район Москворечье-Сабурово,55.640000,37.690000,"Каширское шоссе, дом 53, корпус 3"
3,10.200916,53,10104,Восточный административный округ,район Перово,55.760000,37.780000,"2-я Владимирская улица, дом 5"
3,6.858767,77,16007,Юго-Восточный административный округ,Нижегородский район,55.730000,37.720000,"Нижегородская улица, дом 106, корпус 1"
3,7.606720,57,9781,Северо-Восточный административный округ,Останкинский район,55.820000,37.630000,"2-я Останкинская улица, дом 8"
1,12.670571,27,4593,Восточный административный округ,район Новогиреево,55.750000,37.820000,"Свободный проспект, дом 26"
1,12.670571,35,6798,Восточный административный округ,район Новогиреево,55.750000,37.820000,"Свободный проспект, дом 37/18"
1,12.044338,21,4299,Восточный административный округ,район Новогиреево,55.750000,37.810000,"Свободный проспект, дом 30"
2,3.643187,40,7849,Южный административный округ,Даниловский район,55.720000,37.630000,"1-й Павловский переулок, дом 5"
3,4.877927,56,10809,Южный административный округ,Даниловский район,55.710000,37.640000,"3-й Павелецкий проезд, дом 9А"
2,4.437966,43,7614,Южный административный округ,Даниловский район,55.720000,37.660000,"Восточная улица, дом 1, корпус 1"
3,4.437966,52,7936,Южный административный округ,Даниловский район,55.720000,37.660000,"Восточная улица, дом 2, корпус 2"
1,16.739282,29,5442,Северо-Восточный административный округ,район Лианозово,55.900000,37.570000,"Угличская улица, владение 13, строение 8"
2,6.603691,42,7989,Северо-Восточный административный округ,Алексеевский район,55.810000,37.640000,"проспект Мира, дом 112"
3,7.520725,67,11012,Юго-Западный административный округ,Академический район,55.690000,37.570000,"Профсоюзная улица, дом 8, корпус 2"
2,13.768580,37,5780,Восточный административный округ,район Вешняки,55.720000,37.830000,"Вешняковская улица, дом 27, корпус 2"
1,16.490707,26,3704,Северо-Западный административный округ,район Северное Тушино,55.850000,37.420000,"бульвар Яна Райниса, дом 22, корпус 2"
3,16.490707,68,12626,Северо-Западный административный округ,район Северное Тушино,55.850000,37.420000,"бульвар Яна Райниса, дом 14, корпус 1"
1,16.372021,31,5383,Северо-Западный административный округ,район Северное Тушино,55.860000,37.440000,"Планерная улица, дом 12, корпус 1"
3,16.372021,72,13029,Северо-Западный административный округ,район Северное Тушино,55.860000,37.440000,"Планерная улица, дом 16, корпус 5"
